            lat        lon
821   38.038685  67.779827
302   38.087468  67.746322
58    38.103938  67.860135
894   38.114243  67.867620
301   38.164180  67.899503
167   38.207200  67.203200
332   38.208050  67.206850
727   38.222173  67.913235
1097  38.233229  67.858384
178   38.246038  67.911016
0     38.267109  67.898776
867   38.274915  67.895480
761   38.278689  67.854074
629   38.300335  67.900808
389   38.303929  67.804574
522   38.310747  67.788520
1020  38.322290  67.884016
474   38.323300  66.604200
1359  38.326627  65.596748
568   38.329466  67.908111
1100  38.332477  66.579735
685   38.339444  66.551343
424   38.350068  66.490277
1     38.350212  66.450795
1043  38.385563  66.468916
1110  38.393593  67.868855
903   38.412700  67.957000
998   38.413533  67.909844
518   38.419640  66.451779
668   38.429350  67.913250
248   38.456950  67.886100
988   38.465322  68.007624
165   38.477660  66.431967
1235  38.494943  65.621090
742   38.567975  66.323153
587   38.605908  66.268260
12    38.609458  66.259098
939   38.616982  66.250556
503   38.619731  66.260357
4     38.621305  66.251609
1144  38.622246  66.246372
366   38.626713  66.279230
1281  38.627809  66.252830
1345  38.629093  66.247570
774   38.634015  66.263088
875   38.637292  66.211272
1314  38.649127  65.698519
1376  38.655502  65.706593
852   38.707157  66.239968
1051  38.725767  65.742536
1178  38.772741  65.769579
470   38.776282  65.532403
1380  38.786127  65.770085
1152  38.788706  65.556481
865   38.791464  65.815592
28    38.797929  65.568378
1319  38.805947  66.545062
980   38.806590  65.790936
19    38.807244  65.811525
1252  38.809876  65.806866
370   38.813730  65.649853
120   38.814606  65.798611
1112  38.815635  66.470170
548   38.817323  65.815624
506   38.817706  66.465864
911   38.818890  65.802779
965   38.821938  65.804584
1245  38.821943  65.750612
777   38.822039  65.654201
623   38.822123  65.661440
135   38.827025  65.787249
1177  38.827819  65.736124
1322  38.828677  65.851366
1174  38.829069  65.747699
202   38.835413  65.819651
26    38.836303  65.778473
563   38.836821  65.807231
740   38.838156  65.782089
223   38.839256  66.429627
152   38.839779  66.204880
576   38.839871  65.819372
401   38.841296  65.795810
104   38.846160  66.421596
1227  38.846850  65.787570
3     38.847790  65.781344
377   38.848944  66.241312
1165  38.849468  65.819376
807   38.850380  65.930146
1059  38.850979  65.782444
951   38.851658  66.050970
900   38.854031  65.789351
680   38.854373  65.809905
128   38.854506  65.795919
796   38.859136  65.765304
229   38.861462  65.860563
1056  38.861819  65.783539
11    38.861907  65.783626
274   38.862341  65.787800
224   38.862370  65.787169
541   38.862945  66.283964
252   38.864420  65.799759
1275  38.864917  65.816755
221   38.866465  65.800688
864   38.870980  65.804865
964   38.878664  65.815193
397   38.885048  65.809552
882   38.915959  65.844534
1079  38.918691  66.573666
606   38.919410  65.498837
318   38.924363  65.409774
979   38.924770  65.411523
1383  38.926231  65.422496
151   38.926280  65.422360
926   38.926912  65.426597
1186  38.930934  66.582950
1271  38.935150  66.238741
1095  38.937963  66.584877
737   38.945014  66.811985
1229  38.948427  66.590545
566   38.959410  66.605855
1005  38.960019  66.747808
1260  38.964220  66.614157
1353  38.968393  66.715765
994   38.968819  66.686703
919   38.969249  66.682266
170   38.970132  66.711819
529   38.973930  66.703578
880   38.975503  65.742536
992   38.976140  66.672296
445   38.976254  66.691142
1360  38.977306  66.687537
940   38.982614  66.663000
574   38.992460  66.686472
636   39.009343  65.634733
646   39.026195  67.112572
495   39.031285  65.604462
1272  39.032015  65.599274
857   39.032092  66.572641
1016  39.033594  65.586556
155   39.037843  66.993905
975   39.038273  65.584713
967   39.038743  66.727623
480   39.039310  66.623897
544   39.040213  66.964324
879   39.042036  65.604875
476   39.042728  66.824790
348   39.045339  66.827110
418   39.045845  66.917330
226   39.047251  65.583778
1318  39.049593  65.591544
314   39.053759  66.835168
1087  39.058985  66.834884
1386  39.074308  66.561277
500   39.077763  66.603389
78    39.078071  66.079306
705   39.080770  66.851942
1121  39.083126  65.544992
1221  39.102694  66.855091
38    39.106101  66.857034
299   39.108165  65.338718
1048  39.116522  66.846327
1333  39.116587  66.869579
1247  39.117971  66.875448
67    39.118902  66.901172
282   39.119078  66.905374
1209  39.126603  66.148559
702   39.131902  66.881277
844   39.154738  66.231463
1287  39.182303  65.329178
371   39.186153  66.983712
815   39.205808  66.767721
1346  39.213453  65.266292
966   39.219247  66.246033
109   39.242036  66.257953
400   39.258524  65.175579
1285  39.262643  65.155217
947   39.413567  63.786672
